,rewards,method
212,-198.82,4 step SARSA
213,-198.82,4 step SARSA
214,-198.82,4 step SARSA
215,-198.82,4 step SARSA
216,-198.82,4 step SARSA
217,-198.82,4 step SARSA
218,-198.82,4 step SARSA
219,-198.82,4 step SARSA
220,-198.82,4 step SARSA
221,-198.82,4 step SARSA
222,-198.82,4 step SARSA
223,-198.82,4 step SARSA
224,-198.82,4 step SARSA
225,-199.4,4 step SARSA
226,-199.4,4 step SARSA
227,-200.0,4 step SARSA
228,-200.0,4 step SARSA
229,-200.0,4 step SARSA
230,-200.0,4 step SARSA
231,-200.0,4 step SARSA
232,-200.0,4 step SARSA
233,-200.0,4 step SARSA
234,-200.0,4 step SARSA
235,-200.0,4 step SARSA
236,-200.0,4 step SARSA
237,-200.0,4 step SARSA
238,-200.0,4 step SARSA
239,-200.0,4 step SARSA
240,-200.0,4 step SARSA
241,-200.0,4 step SARSA
242,-200.0,4 step SARSA
243,-199.52,4 step SARSA
244,-199.2,4 step SARSA
245,-199.2,4 step SARSA
246,-199.2,4 step SARSA
247,-199.2,4 step SARSA
248,-199.2,4 step SARSA
249,-199.2,4 step SARSA
250,-199.2,4 step SARSA
251,-199.2,4 step SARSA
252,-199.2,4 step SARSA
253,-199.2,4 step SARSA
254,-199.2,4 step SARSA
255,-199.2,4 step SARSA
256,-199.2,4 step SARSA
257,-199.2,4 step SARSA
258,-199.2,4 step SARSA
259,-199.2,4 step SARSA
260,-199.2,4 step SARSA
261,-199.2,4 step SARSA
262,-199.2,4 step SARSA
263,-199.2,4 step SARSA
264,-199.2,4 step SARSA
265,-199.2,4 step SARSA
266,-199.2,4 step SARSA
267,-199.2,4 step SARSA
268,-199.2,4 step SARSA
269,-199.2,4 step SARSA
270,-199.2,4 step SARSA
271,-199.2,4 step SARSA
272,-199.2,4 step SARSA
273,-199.2,4 step SARSA
274,-199.2,4 step SARSA
275,-199.2,4 step SARSA
276,-199.2,4 step SARSA
277,-199.2,4 step SARSA
278,-199.2,4 step SARSA
279,-199.2,4 step SARSA
280,-199.2,4 step SARSA
281,-199.2,4 step SARSA
282,-199.2,4 step SARSA
283,-199.2,4 step SARSA
284,-199.2,4 step SARSA
285,-199.2,4 step SARSA
286,-199.2,4 step SARSA
287,-199.2,4 step SARSA
288,-199.2,4 step SARSA
289,-199.2,4 step SARSA
290,-199.2,4 step SARSA
291,-199.2,4 step SARSA
292,-199.2,4 step SARSA
293,-199.68,4 step SARSA
294,-200.0,4 step SARSA
295,-200.0,4 step SARSA
296,-200.0,4 step SARSA
297,-200.0,4 step SARSA
298,-200.0,4 step SARSA
299,-200.0,4 step SARSA
300,-200.0,4 step SARSA
301,-199.28,4 step SARSA
