,rewards,method
117,-200.0,0 step SARSA
118,-200.0,0 step SARSA
119,-200.0,0 step SARSA
120,-200.0,0 step SARSA
121,-200.0,0 step SARSA
122,-200.0,0 step SARSA
123,-200.0,0 step SARSA
124,-200.0,0 step SARSA
125,-200.0,0 step SARSA
126,-200.0,0 step SARSA
127,-200.0,0 step SARSA
128,-200.0,0 step SARSA
129,-200.0,0 step SARSA
130,-200.0,0 step SARSA
131,-200.0,0 step SARSA
132,-200.0,0 step SARSA
133,-200.0,0 step SARSA
134,-200.0,0 step SARSA
135,-200.0,0 step SARSA
136,-200.0,0 step SARSA
137,-200.0,0 step SARSA
138,-200.0,0 step SARSA
139,-200.0,0 step SARSA
140,-200.0,0 step SARSA
141,-200.0,0 step SARSA
142,-199.5,0 step SARSA
143,-199.5,0 step SARSA
144,-198.82,0 step SARSA
145,-198.82,0 step SARSA
146,-198.82,0 step SARSA
147,-198.82,0 step SARSA
148,-198.82,0 step SARSA
149,-198.82,0 step SARSA
150,-198.82,0 step SARSA
151,-198.82,0 step SARSA
152,-198.82,0 step SARSA
153,-198.82,0 step SARSA
154,-198.82,0 step SARSA
155,-198.82,0 step SARSA
156,-198.82,0 step SARSA
157,-198.82,0 step SARSA
158,-198.82,0 step SARSA
159,-198.82,0 step SARSA
160,-198.82,0 step SARSA
161,-198.82,0 step SARSA
162,-198.82,0 step SARSA
163,-198.82,0 step SARSA
164,-198.82,0 step SARSA
165,-198.82,0 step SARSA
166,-198.82,0 step SARSA
167,-198.82,0 step SARSA
168,-198.82,0 step SARSA
169,-198.82,0 step SARSA
170,-198.82,0 step SARSA
171,-198.82,0 step SARSA
172,-198.82,0 step SARSA
173,-198.82,0 step SARSA
174,-198.82,0 step SARSA
175,-198.82,0 step SARSA
176,-198.82,0 step SARSA
177,-198.82,0 step SARSA
178,-198.82,0 step SARSA
179,-198.82,0 step SARSA
180,-198.82,0 step SARSA
181,-198.26,0 step SARSA
182,-197.58,0 step SARSA
183,-197.58,0 step SARSA
184,-197.58,0 step SARSA
185,-197.58,0 step SARSA
186,-197.58,0 step SARSA
187,-197.58,0 step SARSA
188,-197.58,0 step SARSA
189,-197.58,0 step SARSA
190,-197.58,0 step SARSA
191,-196.86,0 step SARSA
