,rewards,method
0,-200.0,0 step SARSA
1,-200.0,0 step SARSA
2,-200.0,0 step SARSA
3,-200.0,0 step SARSA
4,-200.0,0 step SARSA
5,-200.0,0 step SARSA
6,-200.0,0 step SARSA
7,-200.0,0 step SARSA
8,-200.0,0 step SARSA
9,-200.0,0 step SARSA
10,-200.0,0 step SARSA
11,-200.0,0 step SARSA
12,-200.0,0 step SARSA
13,-200.0,0 step SARSA
14,-200.0,0 step SARSA
15,-200.0,0 step SARSA
16,-200.0,0 step SARSA
17,-200.0,0 step SARSA
18,-200.0,0 step SARSA
19,-200.0,0 step SARSA
20,-200.0,0 step SARSA
21,-200.0,0 step SARSA
22,-200.0,0 step SARSA
23,-200.0,0 step SARSA
24,-200.0,0 step SARSA
25,-200.0,0 step SARSA
26,-200.0,0 step SARSA
27,-200.0,0 step SARSA
28,-200.0,0 step SARSA
29,-200.0,0 step SARSA
30,-200.0,0 step SARSA
31,-200.0,0 step SARSA
32,-200.0,0 step SARSA
33,-200.0,0 step SARSA
34,-200.0,0 step SARSA
35,-200.0,0 step SARSA
36,-200.0,0 step SARSA
37,-200.0,0 step SARSA
38,-200.0,0 step SARSA
39,-200.0,0 step SARSA
40,-200.0,0 step SARSA
41,-200.0,0 step SARSA
42,-200.0,0 step SARSA
43,-200.0,0 step SARSA
44,-200.0,0 step SARSA
45,-200.0,0 step SARSA
46,-200.0,0 step SARSA
47,-200.0,0 step SARSA
48,-200.0,0 step SARSA
49,-200.0,0 step SARSA
50,-200.0,0 step SARSA
51,-200.0,0 step SARSA
52,-200.0,0 step SARSA
53,-200.0,0 step SARSA
54,-200.0,0 step SARSA
55,-200.0,0 step SARSA
56,-200.0,0 step SARSA
57,-200.0,0 step SARSA
58,-200.0,0 step SARSA
59,-200.0,0 step SARSA
60,-200.0,0 step SARSA
61,-200.0,0 step SARSA
62,-200.0,0 step SARSA
63,-200.0,0 step SARSA
64,-200.0,0 step SARSA
65,-200.0,0 step SARSA
66,-200.0,0 step SARSA
67,-200.0,0 step SARSA
68,-200.0,0 step SARSA
69,-200.0,0 step SARSA
70,-200.0,0 step SARSA
71,-200.0,0 step SARSA
72,-200.0,0 step SARSA
73,-200.0,0 step SARSA
74,-200.0,0 step SARSA
75,-200.0,0 step SARSA
76,-200.0,0 step SARSA
77,-200.0,0 step SARSA
78,-200.0,0 step SARSA
79,-200.0,0 step SARSA
80,-200.0,0 step SARSA
81,-200.0,0 step SARSA
82,-200.0,0 step SARSA
83,-200.0,0 step SARSA
84,-200.0,0 step SARSA
85,-200.0,0 step SARSA
86,-200.0,0 step SARSA
87,-200.0,0 step SARSA
88,-200.0,0 step SARSA
89,-200.0,0 step SARSA
90,-200.0,0 step SARSA
91,-200.0,0 step SARSA
92,-200.0,0 step SARSA
93,-200.0,0 step SARSA
94,-200.0,0 step SARSA
95,-200.0,0 step SARSA
96,-200.0,0 step SARSA
97,-200.0,0 step SARSA
98,-200.0,0 step SARSA
99,-200.0,0 step SARSA
100,-200.0,0 step SARSA
101,-200.0,0 step SARSA
102,-200.0,0 step SARSA
103,-200.0,0 step SARSA
104,-200.0,0 step SARSA
105,-200.0,0 step SARSA
106,-200.0,0 step SARSA
107,-200.0,0 step SARSA
108,-200.0,0 step SARSA
109,-200.0,0 step SARSA
110,-200.0,0 step SARSA
111,-200.0,0 step SARSA
112,-200.0,0 step SARSA
113,-200.0,0 step SARSA
114,-200.0,0 step SARSA
115,-200.0,0 step SARSA
116,-200.0,0 step SARSA
