,rewards,method
0,-200.0,2 step SARSA
1,-200.0,2 step SARSA
2,-200.0,2 step SARSA
3,-200.0,2 step SARSA
4,-200.0,2 step SARSA
5,-200.0,2 step SARSA
6,-200.0,2 step SARSA
7,-200.0,2 step SARSA
8,-200.0,2 step SARSA
9,-200.0,2 step SARSA
10,-200.0,2 step SARSA
11,-200.0,2 step SARSA
12,-200.0,2 step SARSA
13,-200.0,2 step SARSA
14,-200.0,2 step SARSA
15,-200.0,2 step SARSA
16,-200.0,2 step SARSA
17,-200.0,2 step SARSA
18,-200.0,2 step SARSA
19,-200.0,2 step SARSA
20,-200.0,2 step SARSA
21,-200.0,2 step SARSA
22,-200.0,2 step SARSA
23,-200.0,2 step SARSA
24,-200.0,2 step SARSA
25,-200.0,2 step SARSA
26,-200.0,2 step SARSA
27,-200.0,2 step SARSA
28,-200.0,2 step SARSA
29,-200.0,2 step SARSA
30,-200.0,2 step SARSA
31,-200.0,2 step SARSA
32,-200.0,2 step SARSA
33,-200.0,2 step SARSA
34,-200.0,2 step SARSA
35,-200.0,2 step SARSA
36,-200.0,2 step SARSA
37,-200.0,2 step SARSA
38,-200.0,2 step SARSA
39,-200.0,2 step SARSA
40,-200.0,2 step SARSA
41,-200.0,2 step SARSA
42,-200.0,2 step SARSA
43,-200.0,2 step SARSA
44,-200.0,2 step SARSA
45,-200.0,2 step SARSA
46,-200.0,2 step SARSA
47,-200.0,2 step SARSA
48,-200.0,2 step SARSA
49,-200.0,2 step SARSA
50,-200.0,2 step SARSA
51,-200.0,2 step SARSA
52,-200.0,2 step SARSA
53,-200.0,2 step SARSA
54,-200.0,2 step SARSA
55,-200.0,2 step SARSA
56,-200.0,2 step SARSA
57,-200.0,2 step SARSA
58,-200.0,2 step SARSA
59,-200.0,2 step SARSA
60,-200.0,2 step SARSA
61,-200.0,2 step SARSA
62,-200.0,2 step SARSA
63,-200.0,2 step SARSA
64,-200.0,2 step SARSA
65,-200.0,2 step SARSA
66,-200.0,2 step SARSA
67,-200.0,2 step SARSA
68,-200.0,2 step SARSA
69,-200.0,2 step SARSA
70,-200.0,2 step SARSA
71,-200.0,2 step SARSA
72,-199.42,2 step SARSA
73,-199.42,2 step SARSA
74,-199.42,2 step SARSA
75,-199.42,2 step SARSA
76,-199.42,2 step SARSA
77,-199.42,2 step SARSA
78,-199.42,2 step SARSA
79,-199.42,2 step SARSA
80,-199.42,2 step SARSA
81,-199.42,2 step SARSA
82,-199.42,2 step SARSA
83,-199.42,2 step SARSA
84,-199.42,2 step SARSA
85,-199.42,2 step SARSA
86,-199.42,2 step SARSA
87,-199.42,2 step SARSA
88,-199.42,2 step SARSA
89,-199.42,2 step SARSA
90,-199.42,2 step SARSA
91,-199.42,2 step SARSA
92,-199.42,2 step SARSA
93,-199.42,2 step SARSA
94,-199.42,2 step SARSA
